,인덱스,분류,주소,위도,경도
90,88.0,부속기관,"강원도 동해시 평릉동 160-1번지 B라인 지하, 2층, 3층(총3개층)",37.52908985244395,129.1052779774306
91,89.0,부속기관,"강원도 속초시 동해대로 4213 보고빌딩 6,7층",38.19508741939702,128.57718493444798
92,90.0,부속기관,강원도 원주시 우산동 50-4,37.377358153389714,127.94403888802987
93,91.0,부속기관,"강원도 원주시 우산동 96-1 2,3층",37.364447911950656,127.93961469516549
94,92.0,부속기관,"강원도 원주시 현충로 322 지하 1층, 2층",37.381900077193535,127.94752822808996
95,93.0,부속기관,강원도 원주시 호저면 옥산리 589-4번지 외,37.42982757479211,127.9198825037208
96,94.0,부속기관,"강원도 춘천시 후평동 25번지 5, 6층",37.873569647483194,127.7522850731211
97,95.0,부속기관,"경기도 가평군 청평면 청평리 301-4 2층 201호,202호",37.74143690754265,127.42279482579977
98,96.0,부속기관,경기도 가평군 청평면 청평리 301-4 2층 203호,37.74143690754265,127.42279482579977
99,97.0,부속기관,"경기도 가평군 청평면 청평리 301-4 3층 304호, 4층 407,408호",37.74143690754265,127.42279482579977
100,98.0,부속기관,"경기도 가평군 청평면 청평리 416번지 금오빌딩 2층 1호, 3층 1호",37.73717601688976,127.42008866661996
101,99.0,부속기관,경기도 고양시 덕양구 화정동 906-3번지 3층,37.638193098761455,126.83468811577103
102,100.0,부속기관,경기도 고양시 덕양구 화정동 967-1  (8층 1.2.7.8호),37.63589799222081,126.83255872008965
103,101.0,부속기관,경기도 고양시 덕양구 화정동 967-1 ( 9층 전관 ),37.63589799222081,126.83255872008965
104,102.0,부속기관,경기도 고양시 덕양구 화정동 967-1 ( 지하2층 전관 ),37.63589799222081,126.83255872008965
105,103.0,부속기관,경기도 고양시 덕양구 화정동 967-1번지 한솔타워 304호,37.63589799222081,126.83255872008965
106,104.0,부속기관,"경기도 고양시 덕양구 화정동 967-1번지 한솔타워 605,606호",37.63589799222081,126.83255872008965
107,105.0,부속기관,경기도 고양시 덕양구 화정동 967-1번지 한솔타워 803호,37.63589799222081,126.83255872008965
108,106.0,부속기관,경기도 고양시 덕양구 화정동 967-1번지 한솔타워 806호,37.63589799222081,126.83255872008965
109,107.0,부속기관,"경기도 김포시 사우동 253-3 유림회관 5층 501호-1,2호",37.616595092106834,126.71572083140768
110,108.0,부속기관,경기도 부천시 원미구 중동 1146 하이베라스 8층 801호,37.501993515545756,126.77105996674223
111,109.0,부속기관,경기도 부천시 원미구 중동 1146 하이베라스 8층 802호,37.501993515545756,126.77105996674223
112,110.0,부속기관,"경기도 부천시 원미구 중동 1146 하이베라스 8층 804호,805호",37.501993515545756,126.77105996674223
113,111.0,부속기관,"경기도 부천시 원미구 중동 1146 하이베라스 8층 806호,807호",37.501993515545756,126.77105996674223
114,112.0,부속기관,경기도 부천시 원미구 중동 1146 하이베라스 8층 808호,37.501993515545756,126.77105996674223
115,113.0,부속기관,경기도 성남시 중원구 광명로 100번길 9 3층,37.43500271985229,127.14068825552678
116,114.0,부속기관,경기도 성남시 중원구 성남동 2612번지 5층,37.436834777088905,127.1426984657386
118,116.0,부속기관,경기도 수원시 권선구 세류동 1157번지 223호,37.24460024411227,127.01631995478512
119,117.0,부속기관,"경기도 수원시 장안구 파장동 209-1번지112,125,126,127호",37.30997350099626,126.99440490274482
120,118.0,부속기관,경기도 수원시 팔달구 팔달로 3가 79 송산빌딩 4층 전체,37.27559617720139,127.01586210100862
121,119.0,부속기관,경기도 안양시 동안구 관양동 1465-6번지 지하1층~지상5층,37.40416626863981,126.96762532144
122,120.0,부속기관,"경기도 안양시 동안구 관양동 1505-25, 삼우프라자 제9층 901호",37.4007626726149,126.97735320618544
123,121.0,부속기관,경기도 양평군 양평읍 오빈리 431-3,37.50535744982607,127.46245066863361
124,122.0,부속기관,경기도 용인시 기흥구 구갈동 581 아트프라자 501호,37.27129836128368,127.12650622888745
125,123.0,부속기관,경기도 용인시 기흥구 구갈동 581 아트프라자 502호,37.27129836128368,127.12650622888745
126,124.0,부속기관,"경기도 용인시 기흥구 구갈동 581 아트프라자 701,2호",37.27129836128368,127.12650622888745
127,125.0,부속기관,경기도 의정부시 호원동 119-32 2층(전체),37.708168798306986,127.04678191005087
128,126.0,부속기관,경기도 의정부시 호원동 454-27 4층(전체),37.70946942641604,127.04772627528446
129,127.0,부속기관,경기도 이천시 창전동 457-2 1동 2층 전체,37.28156724318098,127.44739317394897
130,128.0,부속기관,경기도 파주시 금촌동 958-9 4층,37.75766042527003,126.77290710547217
131,129.0,부속기관,경기도 파주시 시청로 25 광우프라자 4층,37.75915480403195,126.77603466147326
132,130.0,부속기관,경기도 평택시 비전동 764-12 4층,36.99126845836842,127.10597396739001
134,132.0,부속기관,경북 구미시 원평동 1033-4번지,36.12688857081957,128.34195408041433
135,133.0,부속기관,경북 포항시 북구 장성동 1365-2외 3필지 장성리치프라자 3층 102호,36.069644924262306,129.3788611878106
136,134.0,부속기관,경북 포항시 북구 장성동 1365-2외 3필지 장성리치프라자 3층 106호,36.069644924262306,129.3788611878106
137,135.0,부속기관,경북 포항시 북구 장성동 1365-2외 3필지 장성리치프라자 5층 505호,36.069644924262306,129.3788611878106
138,136.0,부속기관,경남 창원시 마산합포구 합포로 220 2층,35.21680122957008,128.5875775371465
139,137.0,부속기관,"광주광역시 남구 백운동 644-32번지 4,5층",35.13540470662505,126.89895273622871
140,138.0,부속기관,광주광역시 남구 송하동 40-5번지 3층,35.110798540402094,126.89597758021786
141,139.0,부속기관,광주광역시 북구 신안동 118-10번지 지하~4층,35.16364169908052,126.90690850716915
142,140.0,부속기관,"광주광역시 북구 용봉동 15-5번지 4,5층",35.1805014300218,126.91274740519013
143,141.0,부속기관,대구광역시 남구 대명동 1056-2(5.6층),35.838952140968246,128.56581357629454
144,142.0,부속기관,"대구광역시 달서구 이곡동 1273번지(3층,4층)",35.85154175966935,128.50038226080616
145,143.0,부속기관,대전 서구 용문동 244-61 102호,36.338026876397336,127.39481138532474
146,144.0,부속기관,"대전광역시 서구 용문동241-8,9,10,11번지",36.338956883117675,127.39590321817732
147,145.0,부속기관,부산광역시 동구 범일로 11 지하2층 ~ 지상7층,35.13088594536683,129.059523157397
148,146.0,부속기관,부산광역시 부산진구 범일로131번길 47,35.143314813962526,129.05846274899324
149,147.0,부속기관,"부산광역시 부산진구 범천동 857-2, 2층 ",35.14860400209262,129.0596668370107
150,148.0,부속기관,부산광역시 전포 진구 전포대로 199번길 15 현대오피스텔 지하1층,35.154233862496405,129.06436018218983
151,149.0,부속기관,"서울시 강서구 화곡동 1032, 3층 전체",37.54409361809751,126.83731313418565
152,150.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 2층 212호,37.64674352287554,127.06262512856716
153,151.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 405호,37.64674352287554,127.06262512856716
154,152.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 4층 401호,37.64674352287554,127.06262512856716
155,153.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 4층 402호,37.64674352287554,127.06262512856716
156,154.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 4층 404호,37.64674352287554,127.06262512856716
157,155.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 4층 407호,37.64674352287554,127.06262512856716
158,156.0,부속기관,서울시 노원구 상계동 764-1 하라프라자 지하1층 3호,37.64674352287554,127.06262512856716
159,157.0,부속기관,서울시 노원구 상계동324-4 상계제일빌딩4층,37.65609067613726,127.06528933799247
160,158.0,부속기관,서울시 노원구 상계동764-1 하라프라자 2층 209호,37.64674352287554,127.06262512856716
161,159.0,부속기관,서울시 동작구 신대방동 565-22 제202호,37.49225912724603,126.90990854595049
162,160.0,부속기관,"서울시 동작구 신대방동 565-22번지 3층 301.302,304호",37.49225912724603,126.90990854595049
163,161.0,부속기관,서울시 동작구 신대방동 565-22번지 3층 303호,37.49225912724603,126.90990854595049
164,162.0,부속기관,서울시 동작구 신대방동 565-22번지 우성스포츠센터 B4,37.49225912724603,126.90990854595049
165,163.0,부속기관,서울시 동작구 신대방동 588-2번지 2층,37.49092459892496,126.90855776104034
166,164.0,부속기관,서울시 동작구 신대방동 588-2번지 4층,37.49092459892496,126.90855776104034
167,165.0,부속기관,"서울시 동작구 신대방동 692-10  2층,3층,5층",37.48730416118411,126.91066528441041
168,166.0,부속기관,서울시 서대문구 창천동 490번지 홍익사랑빌딩 3층 301~302호,37.56122655815556,126.92726013299894
169,167.0,부속기관,"서울시 서대문구 창천동 490번지 홍익사랑빌딩 3층 303,304호",37.56122655815556,126.92726013299894
170,168.0,부속기관,"서울시 서대문구 창천동 490번지 홍익사랑빌딩 4층 401호,402호",37.56122655815556,126.92726013299894
171,169.0,부속기관,서울시 서대문구 창천동 490번지 홍익사랑빌딩 4층 403호,37.56122655815556,126.92726013299894
